config,depth,pass,tok_s
base2,8192,1,8.97
base16,8192,1,11.64
pack16,8192,1,10.06
pack64,8192,1,7.86
base2,16384,1,6.20
base16,16384,1,10.47
pack16,16384,1,8.57
pack64,16384,1,6.65
pack64,8192,2,8.50
pack16,8192,2,10.24
base16,8192,2,11.53
base2,8192,2,8.73
pack64,16384,2,13.13
pack16,16384,2,16.40
base16,16384,2,19.98
base2,16384,2,12.36
base16,8192,3,22.80
pack64,8192,3,16.03
base2,8192,3,16.95
pack16,8192,3,19.60
base16,16384,3,19.98
pack64,16384,3,13.10
base2,16384,3,12.26
pack16,16384,3,16.12
