metric,kv,depth,wg,pass,tok_s
pp512,f16,0,2,1,725.18
pp512,f16,0,16,1,717.74
tg32,f16,16384,2,1,6.35
tg32,f16,16384,16,1,14.67
pp512,q8_0,0,2,1,679.48
pp512,q8_0,0,16,1,725.04
tg32,q8_0,16384,2,1,8.74
tg32,q8_0,16384,16,1,14.16
pp512,f16,0,16,2,619.40
pp512,f16,0,2,2,685.80
tg32,f16,16384,16,2,15.04
tg32,f16,16384,2,2,6.43
pp512,q8_0,0,16,2,706.47
pp512,q8_0,0,2,2,681.92
tg32,q8_0,16384,16,2,13.14
tg32,q8_0,16384,2,2,8.88
pp512,f16,0,2,3,724.65
pp512,f16,0,16,3,696.27
tg32,f16,16384,2,3,6.47
tg32,f16,16384,16,3,15.48
pp512,q8_0,0,2,3,728.27
pp512,q8_0,0,16,3,719.61
tg32,q8_0,16384,2,3,8.23
tg32,q8_0,16384,16,3,16.19
