path	disposition
.github/FUNDING.yml	source content present
.github/actions/windows-setup-openvino/action.yml	fork content retained
.github/labeler.yml	fork content retained
.github/workflows/build-apple.yml	excluded or superseded path absent
.github/workflows/build-cache.yml	fork content retained
.github/workflows/build-cann.yml	excluded or superseded path absent
.github/workflows/build-openvino.yml	fork content retained
.github/workflows/build-self-hosted.yml	excluded or superseded path absent
.github/workflows/build-wasm.yml	excluded or superseded path absent
.github/workflows/build-webgpu.yml	excluded or superseded path absent
.github/workflows/docker.yml	excluded or superseded path absent
.github/workflows/hip-quality-check.yml	excluded or superseded path absent
.github/workflows/release.yml	excluded or superseded path absent
.github/workflows/server-self-hosted.yml	excluded or superseded path absent
.github/workflows/tqp-linux-release.yml	excluded or superseded path absent
.github/workflows/tqp-release.yml	excluded or superseded path absent
.github/workflows/ui-publish.yml	fork content retained
AGENTS.md	reconciled with fork
common/arg.cpp	reconciled with fork
common/chat-auto-parser-generator.cpp	fork content retained
common/chat.cpp	fork content retained
common/common.cpp	reconciled with fork
common/common.h	reconciled with fork
common/fit.cpp	reconciled with fork
common/fit.h	reconciled with fork
common/speculative-adaptive.h	source content present
common/speculative.cpp	reconciled with fork
conversion/__init__.py	reconciled with fork
conversion/laguna.py	reconciled with fork
conversion/muse_glimmer.py	fork content retained
conversion/qwen.py	reconciled with fork
conversion/qwen4exp.py	reconciled with fork
docs/KV-cache-quantization.md	reconciled with fork
docs/backend/MOE-CACHE.md	reconciled with fork
docs/quality-benchmarks.md	reconciled with fork
docs/speculative.md	reconciled with fork
examples/CMakeLists.txt	source content present
examples/turboanchorkv/CMakeLists.txt	source content present
examples/turboanchorkv/README.md	reconciled with fork
examples/turboanchorkv/make-needle-prompt.py	source content present
examples/turboanchorkv/turboanchorkv.cpp	reconciled with fork
ggml/include/ggml-rpc.h	excluded or superseded path absent
ggml/include/ggml-vulkan.h	source content present
ggml/include/ggml.h	reconciled with fork
ggml/src/CMakeLists.txt	fork content retained
ggml/src/ggml-backend-meta.cpp	reconciled with fork
ggml/src/ggml-backend-moe-cache.h	source content present
ggml/src/ggml-backend-reg.cpp	reconciled with fork
ggml/src/ggml-backend.cpp	reconciled with fork
ggml/src/ggml-common.h	reconciled with fork
ggml/src/ggml-cpu/ggml-cpu.c	reconciled with fork
ggml/src/ggml-cpu/ops.cpp	reconciled with fork
ggml/src/ggml-cpu/ops.h	reconciled with fork
